"Population and migration > Population > Projections > Local authority > 2011-based > Population projections by local authority and year"
""

Filters:
Age: All ages
Gender: Persons

"","",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
"","Merthyr Tydfil",58851,59079,59319,59567,59821,60077,60329,60572,60804,61024,61226,61409,61574,61722,61853,61967,62063,62144,62213,62270,62316,62353,62383,62406,62423,62434
"","Caerphilly",178782,179212,179653,180103,180553,180994,181416,181811,182174,182499,182781,183020,183216,183365,183469,183531,183553,183538,183489,183407,183297,183156,182988,182794,182575,182334
"","Blaenau Gwent",69812,69684,69576,69482,69401,69324,69250,69169,69081,68981,68867,68736,68586,68416,68228,68022,67798,67558,67303,67034,66751,66458,66154,65843,65528,65209
"","Torfaen",91190,91326,91477,91641,91816,91996,92173,92341,92499,92643,92769,92870,92951,93006,93037,93044,93028,92992,92935,92862,92774,92674,92567,92450,92330,92204
"","Monmouthshire",91508,91624,91734,91836,91933,92024,92105,92179,92243,92296,92338,92365,92376,92366,92334,92280,92202,92100,91973,91819,91637,91429,91192,90928,90641,90334
"","Newport",145785,146690,147634,148617,149634,150679,151744,152821,153907,154998,156084,157164,158237,159298,160345,161373,162377,163364,164342,165310,166268,167217,168155,169087,170013,170941



Metadata:
"Title","2011-based local authority population projections for Wales, 2011 to 2036"
"Author","Welsh Government"
"Notes 1","Last update: July 2013
Was added to StatsWales: July 2013

Next update: Will be replaced by a future projection
Will be added to StatsWales: Will be replaced by a future projection

Source: 2011-based projections for local authorities in Wales, Welsh Government
Contact: stats.popcensus@wales.gsi.gov.uk/ ystadegau.poblogaeth@cymru.gsi.gov.uk

This dataset provides population projections for local authorities in Wales by gender, single year of age and each year from the base year of 2011, through the projection period to 2036. This is the third set of population projections published for the 22 local authorities in Wales, but the first set to take into account the results of the 2011 Census.

Population projections provide estimates of the size of the future population, and are based on assumptions about births, deaths and migration. The assumptions are based on past trends. Projections only indicate what may happen should the recent trends continue. Projections done in this way do not make allowances for the effects of local or central government policies on future population levels, distribution and change.

The 2011 population estimates have been used as the base for the local authority projections. The projected population is for 30 June each year. The base population estimates are based on the usually resident population. Usual residents away from home temporarily are included, but visitors are excluded. Students are counted at their term-time address. It should also be noted that the UN definition of an international migrant is used - those changing country of residence for a period of at least 12 months. Short-term migrants (eg migrant workers from Eastern European countries) are not counted in the population estimates and hence are not included in the population projections.

The projections are based on an assumed pattern of migration based on projecting forward the average migration patterns over the last five years.

Four migration variants are also published covering different migration scenarios, ranging from a zero migration estimate, to a low estimate, to a high estimate. A further estimate based on projecting forward the average migration patterns over the last ten years is also available (the variants are in a separate dataset in the same area of StatsWales).

Data are rounded independently to the nearest whole number and may not add exactly.

Note that the projections become increasingly uncertain the further we try to look into the future.

Also note that these figures differ from the Wales data in the national population projections produced by the Office for National Statistics because the key aim of the local authority population projections is to produce robust local authority population projections for Wales, which reflect local trends in recent years while the main purpose of the national projections is to produce robust population projections for Wales which reflect national trends in recent years.

The national projections and the local authority projections are different for two main reasons:
1. The methodology used to produce assumptions in the local authority projections are different to those used in the national projections. Some of these are due to slightly different data sources.

Also, although one set of assumptions may fit well for a national trend, using similar assumptions may not always produce feasible results for all local authority areas because of the different nature and trends between local authorities.

2. The geographical level for which the assumptions are based and applied is also important. For example, it is not appropriate to sum local rates (eg fertility) to derive a national rate, and therefore a model operating at different geographic levels (but using rates) will produce different results for the different geographic levels.
"
"Notes 2","National projections can be found here:
http://www.ons.gov.uk/ons/rel/npp/national-population-projections/2012-based-reference-volume--series-pp2/index.html.

"
"Keywords","Population projections; growth"
